age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,major_por,WeekandEnd,WeirdDrinker
18,4,4,2,2,0,4,3,4,1,1,3,1.9459101490553128,5,6,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0.6931471805599453,0
17,1,1,1,2,0,5,3,3,1,1,3,1.6094379124341005,5,5,6,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.6931471805599453,0
15,1,1,1,2,3,4,3,2,2,3,3,2.3978952727983707,7,8,10,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1.9459101490553128,0
15,4,2,1,3,0,3,2,2,1,1,5,1.0986122886681098,15,14,15,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0.6931471805599453,0
16,3,3,1,2,0,4,3,2,1,2,5,1.6094379124341005,6,10,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1.0986122886681098,0
16,4,3,1,2,0,5,4,2,1,2,5,2.3978952727983707,15,15,15,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1.0986122886681098,0
16,2,2,1,2,0,4,4,4,1,1,3,0.0,12,12,11,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0.6931471805599453,0
17,4,4,2,2,0,4,1,4,1,1,1,1.9459101490553128,6,5,6,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0.6931471805599453,0
15,3,2,1,2,0,4,2,2,1,1,1,0.0,16,18,19,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0.6931471805599453,0
15,3,4,1,2,0,5,5,1,1,1,5,0.0,14,15,15,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0.6931471805599453,0
